2023-01-04 16:06:33,882 [INFO    ] Start download, d04_text_station_5min_2022_05_06.txt.gz
2023-01-04 16:06:41,522 [INFO    ] Download completed
2023-01-04 16:06:46,524 [INFO    ] Start download, d04_text_station_5min_2022_05_07.txt.gz
2023-01-04 16:06:54,936 [INFO    ] Download completed
2023-01-04 16:06:59,938 [INFO    ] Start download, d04_text_station_5min_2022_05_08.txt.gz
2023-01-04 16:07:08,290 [INFO    ] Download completed
2023-01-04 16:07:13,292 [INFO    ] Start download, d04_text_station_5min_2022_05_09.txt.gz
2023-01-04 16:07:21,983 [INFO    ] Download completed
2023-01-04 16:07:26,984 [INFO    ] Start download, d04_text_station_5min_2022_05_10.txt.gz
2023-01-04 16:07:35,224 [INFO    ] Download completed
2023-01-04 16:07:40,226 [INFO    ] Start download, d04_text_station_5min_2022_05_11.txt.gz
2023-01-04 16:07:48,915 [INFO    ] Download completed
2023-01-04 16:07:53,917 [INFO    ] Start download, d04_text_station_5min_2022_05_12.txt.gz
2023-01-04 16:08:01,424 [INFO    ] Download completed
2023-01-04 16:08:06,426 [INFO    ] Start download, d04_text_station_5min_2022_05_13.txt.gz
2023-01-04 16:08:13,732 [INFO    ] Download completed
2023-01-04 16:08:18,733 [INFO    ] Start download, d04_text_station_5min_2022_05_14.txt.gz
2023-01-04 16:08:25,869 [INFO    ] Download completed
2023-01-04 16:08:30,870 [INFO    ] Start download, d04_text_station_5min_2022_05_15.txt.gz
2023-01-04 16:08:37,705 [INFO    ] Download completed
2023-01-04 16:08:42,707 [INFO    ] Start download, d04_text_station_5min_2022_05_16.txt.gz
2023-01-04 16:08:50,860 [INFO    ] Download completed
2023-01-04 16:08:55,861 [INFO    ] Start download, d04_text_station_5min_2022_05_17.txt.gz
2023-01-04 16:09:04,089 [INFO    ] Download completed
2023-01-04 16:09:09,090 [INFO    ] Start download, d04_text_station_5min_2022_05_18.txt.gz
2023-01-04 16:09:17,263 [INFO    ] Download completed
2023-01-04 16:09:22,265 [INFO    ] Start download, d04_text_station_5min_2022_05_19.txt.gz
2023-01-04 16:09:30,319 [INFO    ] Download completed
2023-01-04 16:09:35,321 [INFO    ] Start download, d04_text_station_5min_2022_05_20.txt.gz
2023-01-04 16:09:43,990 [INFO    ] Download completed
2023-01-04 16:09:48,991 [INFO    ] Start download, d04_text_station_5min_2022_05_21.txt.gz
2023-01-04 16:09:57,701 [INFO    ] Download completed
2023-01-04 16:10:02,702 [INFO    ] Start download, d04_text_station_5min_2022_05_22.txt.gz
2023-01-04 16:10:10,115 [INFO    ] Download completed
2023-01-04 16:10:15,116 [INFO    ] Start download, d04_text_station_5min_2022_05_23.txt.gz
2023-01-04 16:10:23,012 [INFO    ] Download completed
2023-01-04 16:10:28,013 [INFO    ] Start download, d04_text_station_5min_2022_05_24.txt.gz
2023-01-04 16:10:36,123 [INFO    ] Download completed
2023-01-04 16:10:41,125 [INFO    ] Start download, d04_text_station_5min_2022_05_25.txt.gz
2023-01-04 16:10:48,726 [INFO    ] Download completed
2023-01-04 16:10:53,728 [INFO    ] Start download, d04_text_station_5min_2022_05_26.txt.gz
2023-01-04 16:11:02,744 [INFO    ] Download completed
2023-01-04 16:11:07,746 [INFO    ] Start download, d04_text_station_5min_2022_05_27.txt.gz
2023-01-04 16:11:16,306 [INFO    ] Download completed
2023-01-04 16:11:21,308 [INFO    ] Start download, d04_text_station_5min_2022_05_28.txt.gz
2023-01-04 16:11:29,836 [INFO    ] Download completed
2023-01-04 16:11:34,838 [INFO    ] Start download, d04_text_station_5min_2022_05_29.txt.gz
2023-01-04 16:11:42,765 [INFO    ] Download completed
2023-01-04 16:11:47,766 [INFO    ] Start download, d04_text_station_5min_2022_05_30.txt.gz
2023-01-04 16:11:56,122 [INFO    ] Download completed
2023-01-04 16:12:01,124 [INFO    ] Start download, d04_text_station_5min_2022_05_31.txt.gz
2023-01-04 16:12:09,810 [INFO    ] Download completed
2023-01-04 16:12:14,811 [INFO    ] Start download, d04_text_station_5min_2022_06_01.txt.gz
2023-01-04 16:12:23,131 [INFO    ] Download completed
2023-01-04 16:12:28,133 [INFO    ] Start download, d04_text_station_5min_2022_06_02.txt.gz
2023-01-04 16:12:36,711 [INFO    ] Download completed
2023-01-04 16:12:41,712 [INFO    ] Start download, d04_text_station_5min_2022_06_03.txt.gz
2023-01-04 16:12:50,337 [INFO    ] Download completed
2023-01-04 16:12:55,338 [INFO    ] Start download, d04_text_station_5min_2022_06_04.txt.gz
2023-01-04 16:13:00,205 [INFO    ] Download completed
2023-01-04 16:13:05,207 [INFO    ] Start download, d04_text_station_5min_2022_06_05.txt.gz
2023-01-04 16:13:12,696 [INFO    ] Download completed
2023-01-04 16:13:17,697 [INFO    ] Start download, d04_text_station_5min_2022_06_06.txt.gz
2023-01-04 16:13:25,492 [INFO    ] Download completed
2023-01-04 16:13:30,493 [INFO    ] Start download, d04_text_station_5min_2022_06_07.txt.gz
2023-01-04 16:13:40,285 [INFO    ] Download completed
2023-01-04 16:13:45,287 [INFO    ] Start download, d04_text_station_5min_2022_06_08.txt.gz
2023-01-04 16:13:53,277 [INFO    ] Download completed
2023-01-04 16:13:58,278 [INFO    ] Start download, d04_text_station_5min_2022_06_09.txt.gz
2023-01-04 16:14:06,113 [INFO    ] Download completed
2023-01-04 16:14:11,115 [INFO    ] Start download, d04_text_station_5min_2022_06_10.txt.gz
2023-01-04 16:14:19,315 [INFO    ] Download completed
2023-01-04 16:14:24,316 [INFO    ] Start download, d04_text_station_5min_2022_06_11.txt.gz
2023-01-04 16:14:31,121 [INFO    ] Download completed
2023-01-04 16:14:36,123 [INFO    ] Start download, d04_text_station_5min_2022_06_12.txt.gz
2023-01-04 16:14:43,951 [INFO    ] Download completed
2023-01-04 16:14:48,953 [INFO    ] Start download, d04_text_station_5min_2022_06_13.txt.gz
2023-01-04 16:14:57,287 [INFO    ] Download completed
2023-01-04 16:15:02,289 [INFO    ] Start download, d04_text_station_5min_2022_06_14.txt.gz
2023-01-04 16:15:10,475 [INFO    ] Download completed
2023-01-04 16:15:15,476 [INFO    ] Start download, d04_text_station_5min_2022_06_15.txt.gz
2023-01-04 16:15:23,941 [INFO    ] Download completed
2023-01-04 16:15:28,943 [INFO    ] Start download, d04_text_station_5min_2022_06_16.txt.gz
2023-01-04 16:15:37,238 [INFO    ] Download completed
2023-01-04 16:15:42,239 [INFO    ] Start download, d04_text_station_5min_2022_06_17.txt.gz
2023-01-04 16:15:50,482 [INFO    ] Download completed
2023-01-04 16:15:55,484 [INFO    ] Start download, d04_text_station_5min_2022_06_18.txt.gz
2023-01-04 16:16:03,823 [INFO    ] Download completed
2023-01-04 16:16:08,825 [INFO    ] Start download, d04_text_station_5min_2022_06_19.txt.gz
2023-01-04 16:16:17,846 [INFO    ] Download completed
2023-01-04 16:16:22,848 [INFO    ] Start download, d04_text_station_5min_2022_06_20.txt.gz
2023-01-04 16:16:30,406 [INFO    ] Download completed
2023-01-04 16:16:35,408 [INFO    ] Start download, d04_text_station_5min_2022_06_21.txt.gz
2023-01-04 16:16:43,330 [INFO    ] Download completed
2023-01-04 16:16:48,332 [INFO    ] Start download, d04_text_station_5min_2022_06_22.txt.gz
2023-01-04 16:16:57,049 [INFO    ] Download completed
2023-01-04 16:17:02,050 [INFO    ] Start download, d04_text_station_5min_2022_06_23.txt.gz
2023-01-04 16:17:10,127 [INFO    ] Download completed
2023-01-04 16:17:15,129 [INFO    ] Start download, d04_text_station_5min_2022_06_24.txt.gz
2023-01-04 16:17:23,114 [INFO    ] Download completed
2023-01-04 16:17:28,115 [INFO    ] Start download, d04_text_station_5min_2022_06_25.txt.gz
2023-01-04 16:17:36,070 [INFO    ] Download completed
2023-01-04 16:17:41,072 [INFO    ] Start download, d04_text_station_5min_2022_06_26.txt.gz
2023-01-04 16:17:50,048 [INFO    ] Download completed
2023-01-04 16:17:55,050 [INFO    ] Start download, d04_text_station_5min_2022_06_27.txt.gz
2023-01-04 16:18:03,367 [INFO    ] Download completed
2023-01-04 16:18:08,369 [INFO    ] Start download, d04_text_station_5min_2022_06_28.txt.gz
2023-01-04 16:18:16,490 [INFO    ] Download completed
2023-01-04 16:18:21,492 [INFO    ] Start download, d04_text_station_5min_2022_06_29.txt.gz
2023-01-04 16:18:29,538 [INFO    ] Download completed
2023-01-04 16:18:34,539 [INFO    ] Start download, d04_text_station_5min_2022_06_30.txt.gz
2023-01-04 16:18:42,453 [INFO    ] Download completed
2023-01-04 16:18:47,454 [INFO    ] Start download, d04_text_station_5min_2022_07_01.txt.gz
2023-01-04 16:18:55,103 [INFO    ] Download completed
2023-01-04 16:19:00,104 [INFO    ] Start download, d04_text_station_5min_2022_07_02.txt.gz
